"resp_id","country","age_grp","education","net_use_news","trust_parliament","trust_press","trust_science","trust_politicians","trust_index"
422,"Estonia","65+","tertiary",NA,NA,0,NA,5,2.5
423,"Sweden","25-34","secondary","Once a month",4,NA,NA,1,2.5
424,"","25-34","secondary","Several times a month",4,NA,7,4,5
425,"Germany","45-54","primary","Every day",NA,3,5,3,3.66666666666667
426,"Poland","18-24",NA,"Less than once a month",NA,6,7,5,6
427,"Sweden","18-24","primary",NA,1,0,7,2,2.5
428,"Germany","25-34",NA,"Several times a week",9,4,9,8,7.5
429,"Poland","35-44","secondary","Every day",9,7,8,3,6.75
430,"","35-44","tertiary","Several times a week",NA,10,NA,1,5.5
431,"Finland","25-34","primary","Never",NA,7,4,1,4
432,"Poland","18-24","tertiary","Never",4,3,NA,7,4.66666666666667
433,"Germany","65+","secondary","Several times a week",6,9,5,9,7.25
434,"Finland","35-44",NA,"Every day",3,NA,NA,0,1.5
435,"Estonia","35-44","secondary","Every day",NA,0,NA,4,2
436,"Estonia","25-34",NA,"Once a week",8,0,8,1,4.25
437,"Finland","55-64","secondary",NA,NA,7,3,NA,5
438,"Sweden","65+","primary","Several times a month",7,10,3,10,7.5
439,"Finland","18-24","secondary","Several times a week",4,NA,9,0,4.33333333333333
440,"Finland","35-44","secondary","Once a week",5,6,7,2,5
441,"Poland","65+",NA,"Never",1,NA,6,7,4.66666666666667
442,"Germany","65+","tertiary","Once a week",NA,NA,8,5,6.5
443,"Sweden","25-34","tertiary","Every day",0,9,1,8,4.5
444,"Finland","35-44","primary","Every day",10,2,NA,4,5.33333333333333
445,"Finland","65+","tertiary","Every day",3,6,6,NA,5
446,"Estonia","18-24","tertiary","Less than once a month",1,NA,4,NA,2.5
447,"Finland","35-44","tertiary","Several times a week",10,7,2,3,5.5
448,"Poland","25-34","primary","Every day",4,5,NA,NA,4.5
449,"Finland","65+","tertiary","Every day",9,8,NA,NA,8.5
450,"Sweden","25-34","tertiary","Every day",NA,NA,5,6,5.5
451,"Finland","65+",NA,"Once a week",10,9,3,3,6.25
452,"Finland","18-24","primary","Several times a week",5,NA,2,NA,3.5
453,"Sweden","65+","tertiary","Several times a week",NA,4,NA,6,5
454,"Finland","18-24",NA,"Several times a month",NA,3,9,10,7.33333333333333
455,"Finland","55-64","tertiary","Every day",5,9,2,NA,5.33333333333333
456,"Finland","18-24",NA,"Once a week",9,NA,7,6,7.33333333333333
457,"Poland","45-54","secondary","Once a week",2,2,8,10,5.5
458,"Estonia","45-54",NA,"Once a week",NA,2,7,NA,4.5
459,"Poland","45-54","tertiary","Several times a month",0,9,1,5,3.75
460,"Finland","65+",NA,"Every day",10,6,NA,3,6.33333333333333
461,"Estonia","25-34","tertiary","Several times a month",8,6,5,0,4.75
462,"Germany","35-44",NA,"Several times a week",3,NA,10,9,7.33333333333333
463,"Sweden","25-34","secondary","Several times a week",4,7,NA,1,4
464,"Finland","65+",NA,"Once a week",NA,8,NA,NA,8
465,"Finland","18-24","tertiary","Several times a week",NA,0,3,9,4
466,"Poland","25-34","primary",NA,NA,NA,4,9,6.5
467,"Finland","55-64",NA,"Every day",4,NA,NA,1,2.5
468,"Finland","35-44","primary","Several times a week",NA,NA,1,NA,1
469,"Finland","55-64","secondary","Once a month",5,NA,NA,10,7.5
470,"Estonia","45-54",NA,NA,4,10,9,7,7.5
471,"Finland","45-54","secondary","Once a month",NA,2,8,7,5.66666666666667
472,"Estonia","65+",NA,"Every day",7,2,1,10,5
473,"Finland","55-64",NA,"Less than once a month",9,4,10,8,7.75
474,"Germany","18-24","tertiary","Several times a week",4,5,5,4,4.5
475,"Germany","45-54","primary","Every day",8,2,6,1,4.25
476,"Finland","35-44","secondary","Several times a month",9,6,0,5,5
477,"Finland","45-54","secondary","Every day",9,1,6,3,4.75
478,"Finland","25-34",NA,"Every day",7,9,1,NA,5.66666666666667
479,"Finland","55-64","secondary","Once a month",0,7,6,5,4.5
480,"","25-34","tertiary","Once a month",NA,6,4,5,5
481,"Finland","25-34","secondary",NA,1,6,4,1,3
482,"Finland","35-44","secondary","Every day",9,5,4,0,4.5
483,"Sweden","65+","secondary","Every day",NA,9,NA,3,6
484,"Finland","55-64",NA,"Several times a week",NA,6,1,5,4
485,"Finland","45-54","tertiary","Every day",8,3,7,0,4.5
486,"Germany","55-64","tertiary","Every day",7,9,2,2,5
487,"Poland","65+",NA,"Several times a month",6,1,5,3,3.75
488,"Finland","65+",NA,"Every day",7,3,6,8,6
489,"Estonia","45-54",NA,"Every day",6,10,10,10,9
490,"Sweden","55-64",NA,"Less than once a month",NA,NA,7,NA,7
491,"Estonia","18-24","tertiary","Once a week",9,7,7,10,8.25
492,"Finland","35-44",NA,"Less than once a month",NA,5,8,4,5.66666666666667
493,"Sweden","35-44","tertiary","Never",NA,NA,0,5,2.5
494,"Finland","25-34",NA,NA,0,1,NA,7,2.66666666666667
495,"Estonia","25-34","tertiary","Every day",8,10,3,4,6.25
496,"Sweden","25-34","tertiary","Every day",NA,7,NA,2,4.5
497,"Finland","65+","tertiary","Every day",2,9,4,7,5.5
498,"Estonia","55-64","tertiary","Several times a week",9,7,5,4,6.25
499,"Finland","45-54","tertiary","Once a month",7,1,0,5,3.25
500,"Poland","55-64","tertiary","Every day",0,6,NA,5,3.66666666666667
501,"Finland","45-54","primary",NA,7,0,7,3,4.25
502,"Finland","55-64","tertiary","Every day",NA,NA,0,10,5
503,"Finland","65+",NA,"Several times a week",9,10,7,1,6.75
504,"Estonia","18-24",NA,"Never",3,NA,4,9,5.33333333333333
505,"Finland","65+","tertiary","Several times a week",9,3,8,NA,6.66666666666667
506,"","18-24","tertiary","Every day",8,NA,4,2,4.66666666666667
507,"Finland","35-44","tertiary","Several times a month",NA,NA,8,0,4
508,"Estonia","35-44","tertiary","Every day",2,1,6,NA,3
509,"Poland","45-54","primary","Less than once a month",7,1,4,10,5.5
510,"Germany","25-34","tertiary","Several times a week",NA,6,1,NA,3.5
511,"Estonia","18-24","tertiary",NA,7,NA,NA,1,4
512,"","45-54","tertiary","Less than once a month",1,NA,6,NA,3.5
513,"Finland","35-44","secondary","Every day",NA,NA,0,1,0.5
514,"Poland","65+",NA,"Every day",8,3,10,3,6
515,"Finland","55-64","tertiary","Every day",NA,8,NA,9,8.5
516,"Finland","35-44","secondary","Every day",2,NA,5,5,4
517,"Finland","55-64","primary","Several times a month",3,7,3,NA,4.33333333333333
518,"Finland","35-44","tertiary","Once a week",NA,8,NA,NA,8
519,"Sweden","55-64","secondary","Every day",4,0,3,4,2.75
520,"Estonia","55-64","tertiary","Never",3,2,NA,NA,2.5
521,"Finland","18-24","secondary","Every day",9,8,3,9,7.25
522,"Finland","25-34","tertiary","Every day",4,9,NA,NA,6.5
523,"Finland","45-54",NA,"Every day",NA,6,10,NA,8
524,"Sweden","65+",NA,NA,3,2,7,7,4.75
525,"Finland","25-34","tertiary","Several times a month",NA,5,NA,NA,5
526,"Finland","18-24",NA,"Every day",10,1,8,NA,6.33333333333333
527,"Germany","65+",NA,"Several times a month",10,2,3,NA,5
528,"Estonia","65+","primary","Every day",NA,NA,10,NA,10
529,"Germany","65+",NA,"Several times a week",NA,10,10,5,8.33333333333333
530,"Finland","65+","primary","Every day",4,3,0,6,3.25
531,"Germany","45-54","secondary","Every day",5,NA,5,6,5.33333333333333
532,"Finland","45-54","tertiary","Several times a week",1,NA,NA,5,3
533,"Estonia","35-44","primary","Several times a week",0,3,10,1,3.5
534,"Sweden","25-34","tertiary","Several times a week",NA,0,6,0,2
535,"Finland","65+","secondary","Several times a month",5,1,6,NA,4
536,"Poland","18-24",NA,"Every day",NA,10,8,10,9.33333333333333
537,"Sweden","18-24","tertiary","Never",10,NA,8,4,7.33333333333333
538,"Finland","25-34","tertiary","Less than once a month",0,1,4,0,1.25
539,"Finland","65+","secondary","Every day",6,3,NA,2,3.66666666666667
540,"Sweden","35-44","tertiary","Several times a month",NA,2,4,6,4
541,"Finland","35-44",NA,"Every day",9,8,7,5,7.25
542,"Finland","25-34","tertiary","Several times a week",NA,8,2,NA,5
543,"Estonia","55-64","tertiary","Several times a month",7,0,1,2,2.5
544,"Estonia","18-24",NA,"Every day",4,3,NA,5,4
545,"Finland","65+","tertiary","Every day",7,3,9,7,6.5
546,"Poland","35-44","tertiary","Every day",NA,9,NA,3,6
547,"Poland","35-44","secondary","Never",NA,9,1,NA,5
548,"Finland","25-34","tertiary","Every day",NA,5,NA,4,4.5
549,"Finland","55-64","primary","Less than once a month",6,NA,10,NA,8
550,"Finland","45-54","secondary","Several times a month",0,8,NA,10,6
551,"","55-64","tertiary","Once a week",6,6,5,1,4.5
552,"Poland","65+",NA,"Several times a week",7,9,2,0,4.5
553,"Sweden","55-64","secondary","Every day",4,10,3,10,6.75
554,"Germany","35-44","primary",NA,7,4,10,8,7.25
555,"Germany","18-24","primary","Several times a month",0,NA,9,8,5.66666666666667
556,"Estonia","35-44",NA,"Several times a month",NA,5,6,0,3.66666666666667
557,"Germany","25-34","tertiary","Several times a week",NA,8,3,7,6
558,"Estonia","45-54","primary","Once a month",0,0,9,7,4
559,"Sweden","25-34",NA,"Once a month",3,7,6,NA,5.33333333333333
560,"Finland","55-64",NA,"Several times a week",1,3,10,0,3.5
561,"Finland","55-64","tertiary","Every day",6,NA,9,8,7.66666666666667
562,"","25-34","secondary","Every day",4,4,6,NA,4.66666666666667
563,"Poland","25-34","tertiary","Several times a week",6,10,0,NA,5.33333333333333
564,"","25-34",NA,"Several times a month",6,4,NA,NA,5
565,"Finland","18-24",NA,"Once a week",NA,9,10,6,8.33333333333333
566,"Sweden","45-54","tertiary","Several times a month",8,9,9,4,7.5
567,"Finland","45-54",NA,"Once a week",NA,2,1,7,3.33333333333333
568,"Estonia","25-34","secondary","Every day",10,3,NA,6,6.33333333333333
569,"Poland","65+","secondary","Every day",5,NA,NA,7,6
570,"Finland","55-64","tertiary","Several times a week",2,4,3,8,4.25
571,"Poland","18-24","primary","Every day",6,7,6,10,7.25
572,"Estonia","18-24","tertiary","Never",8,NA,NA,0,4
573,"Finland","18-24","primary",NA,10,1,2,NA,4.33333333333333
574,"Finland","55-64","primary","Every day",NA,NA,8,9,8.5
575,"Finland","65+","secondary","Several times a week",3,9,4,2,4.5
576,"","45-54",NA,NA,0,NA,9,NA,4.5
577,"Estonia","35-44","primary","Every day",1,8,NA,5,4.66666666666667
578,"Finland","18-24","primary","Several times a week",8,2,NA,NA,5
579,"Sweden","35-44",NA,"Every day",NA,2,6,10,6
580,"Poland","45-54","tertiary",NA,4,3,5,2,3.5
581,"Finland","55-64","secondary",NA,7,8,8,NA,7.66666666666667
582,"Estonia","35-44","tertiary","Every day",3,10,9,8,7.5
583,"Poland","45-54","secondary","Several times a month",9,9,NA,8,8.66666666666667
584,"Germany","65+","tertiary","Several times a week",1,7,6,NA,4.66666666666667
585,"Finland","35-44","tertiary","Several times a month",0,3,6,0,2.25
586,"Finland","55-64","secondary","Several times a month",0,4,8,1,3.25
587,"Germany","55-64",NA,"Less than once a month",NA,NA,1,5,3
588,"Estonia","55-64","tertiary","Several times a week",0,7,0,0,1.75
589,"Estonia","35-44","tertiary",NA,NA,2,3,7,4
590,"Finland","45-54","tertiary","Once a week",8,NA,2,10,6.66666666666667
591,"Finland","18-24","tertiary","Once a month",2,8,8,1,4.75
592,"Germany","65+","tertiary","Several times a week",9,8,8,1,6.5
593,"Finland","35-44","tertiary","Every day",0,0,9,6,3.75
594,"Finland","25-34",NA,"Less than once a month",1,NA,7,5,4.33333333333333
595,"Finland","18-24","secondary","Every day",NA,8,7,4,6.33333333333333
596,"Finland","65+","secondary","Several times a month",2,2,10,6,5
597,"Germany","45-54","secondary","Every day",8,6,0,NA,4.66666666666667
598,"Poland","55-64","secondary","Once a month",3,7,2,0,3
599,"Finland","55-64","secondary","Less than once a month",NA,4,5,9,6
600,"Poland","35-44",NA,"Every day",3,5,3,10,5.25
