"resp_id","country","age_grp","education","net_use_news","trust_parliament","trust_press","trust_science","trust_politicians"
495,"Estonia","25-34","Tertiary","Every day","8","10","3","4"
496,"Sweden","25-34","tertiary","Every day","99","7","99","2"
497,"Finland","65+","tertiary","Every day","2","9","4","7"
498,"Estonia","55-64","phd","Several times a week","9","7","5","4"
499,"Finland","45-54","phd","Once a month","7","1","0","5"
500,"Poland","55-64","Tertiary","Every day","0","6","","5"
501,"Finland","45-54","primary","99","7","0","7","3"
502,"Finland","55-64","Tertiary","Every day","98","","0","10"
503,"Finland","65+","NA","Several times a week","9","10","7","1"
504,"Estonia","18-24","  ","Never","3","","4","9"
505,"Finland","65+","Tertiary","Several times a week","9","3","8","99"
506,,"18-24","phd","Every day","8","98","4","2"
507,"Finland","35-44","tertiary","Several times a month","99","99","8","0"
508,"Estonia","35-44","Tertiary","Every day","2","1","6","99"
509,"Poland","45-54","primary","Less than once a month","7","1","4","10"
510,"Germany","25-34","phd","Several times a week","98","6","1","98"
511,"Estonia","18-24","tertiary","98","7","99","","1"
512,,"45-54","Tertiary","Less than once a month","1","","6","98"
513,"Finland","35-44","Secondary","Every day","","99","0","1"
514,"Poland","65+","  ","Every day","8","3","10","3"
515,"Finland","55-64","Tertiary","Every day","99","8","98","9"
516,"Finland","35-44","secondary ","Every day","2","","5","5"
517,"Finland","55-64","primary","Several times a month","3","7","3","98"
518,"Finland","35-44","phd","Once a week","","8","99","99"
519,"Sweden","55-64","secondary ","Every day","4","0","3","4"
520,"Estonia","55-64","tertiary","Never","3","2","99","99"
521,"Finland","18-24","secondary ","Every day","9","8","3","9"
522,"Finland","25-34","Tertiary","Every day","4","9","98","99"
523,"Finland","45-54","  ","Every day","98","6","10",""
524,"Sweden","65+","  ","99","3","2","7","7"
525,"Finland","25-34","phd","Several times a month","98","5","",""
526,"Finland","18-24","  ","Every day","10","1","8","98"
527,"Germany","65+","NA","Several times a month","10","2","3","99"
528,"Estonia","65+","primary","Every day","98","99","10","98"
529,"Germany","65+","NA","Several times a week","99","10","10","5"
530,"Finland","65+","primary","Every day","4","3","0","6"
531,"Germany","45-54","secondary ","Every day","5","99","5","6"
532,"Finland","45-54","Tertiary","Several times a week","1","","","5"
533,"Estonia","35-44","primary","Several times a week","0","3","10","1"
534,"Sweden","25-34","Tertiary","Several times a week","","0","6","0"
535,"Finland","65+","Secondary","Several times a month","5","1","6","98"
536,"Poland","18-24","NA","Every day","98","10","8","10"
537,"Sweden","18-24","tertiary","Never","10","98","8","4"
538,"Finland","25-34","Tertiary","Less than once a month","0","1","4","0"
539,"Finland","65+","secondary ","Every day","6","3","98","2"
540,"Sweden","35-44","phd","Several times a month","","2","4","6"
541,"Finland","35-44","  ","Every day","9","8","7","5"
542,"Finland","25-34","phd","Several times a week","99","8","2","98"
543,"Estonia","55-64","phd","Several times a month","7","0","1","2"
544,"Estonia","18-24","  ","Every day","4","3","98","5"
545,"Finland","65+","tertiary","Every day","7","3","9","7"
546,"Poland","35-44","Tertiary","Every day","98","9","","3"
547,"Poland","35-44","secondary ","Never","99","9","1",""
548,"Finland","25-34","phd","Every day","99","5","98","4"
549,"Finland","55-64","primary","Less than once a month","6","","10","98"
550,"Finland","45-54","secondary ","Several times a month","0","8","","10"
551,,"55-64","Tertiary","Once a week","6","6","5","1"
552,"Poland","65+","  ","Several times a week","7","9","2","0"
553,"Sweden","55-64","secondary ","Every day","4","10","3","10"
554,"Germany","35-44","primary","99","7","4","10","8"
555,"Germany","18-24","primary","Several times a month","0","99","9","8"
556,"Estonia","35-44","NA","Several times a month","","5","6","0"
557,"Germany","25-34","phd","Several times a week","98","8","3","7"
558,"Estonia","45-54","primary","Once a month","0","0","9","7"
559,"Sweden","25-34","  ","Once a month","3","7","6","98"
560,"Finland","55-64","  ","Several times a week","1","3","10","0"
561,"Finland","55-64","Tertiary","Every day","6","99","9","8"
562,,"25-34","secondary ","Every day","4","4","6","99"
563,"Poland","25-34","Tertiary","Several times a week","6","10","0","98"
564,,"25-34","  ","Several times a month","6","4","99",""
565,"Finland","18-24","  ","Once a week","99","9","10","6"
566,"Sweden","45-54","phd","Several times a month","8","9","9","4"
567,"Finland","45-54","NA","Once a week","98","2","1","7"
568,"Estonia","25-34","secondary ","Every day","10","3","99","6"
569,"Poland","65+","secondary ","Every day","5","98","98","7"
570,"Finland","55-64","tertiary","Several times a week","2","4","3","8"
571,"Poland","18-24","primary","Every day","6","7","6","10"
572,"Estonia","18-24","Tertiary","Never","8","","","0"
573,"Finland","18-24","primary","98","10","1","2","98"
574,"Finland","55-64","primary","Every day","99","99","8","9"
575,"Finland","65+","Secondary","Several times a week","3","9","4","2"
576,,"45-54","NA","99","0","98","9",""
577,"Estonia","35-44","primary","Every day","1","8","99","5"
578,"Finland","18-24","primary","Several times a week","8","2","98","98"
579,"Sweden","35-44","  ","Every day","98","2","6","10"
580,"Poland","45-54","tertiary","99","4","3","5","2"
581,"Finland","55-64","secondary ","98","7","8","8",""
582,"Estonia","35-44","tertiary","Every day","3","10","9","8"
583,"Poland","45-54","secondary ","Several times a month","9","9","98","8"
584,"Germany","65+","Tertiary","Several times a week","1","7","6",""
585,"Finland","35-44","Tertiary","Several times a month","0","3","6","0"
586,"Finland","55-64","secondary ","Several times a month","0","4","8","1"
587,"Germany","55-64","NA","Less than once a month","99","","1","5"
588,"Estonia","55-64","Tertiary","Several times a week","0","7","0","0"
589,"Estonia","35-44","tertiary","99","","2","3","7"
590,"Finland","45-54","Tertiary","Once a week","8","99","2","10"
591,"Finland","18-24","Tertiary","Once a month","2","8","8","1"
592,"Germany","65+","Tertiary","Several times a week","9","8","8","1"
593,"Finland","35-44","Tertiary","Every day","0","0","9","6"
594,"Finland","25-34","NA","Less than once a month","1","","7","5"
595,"Finland","18-24","secondary ","Every day","98","8","7","4"
596,"Finland","65+","Secondary","Several times a month","2","2","10","6"
597,"Germany","45-54","secondary ","Every day","8","6","0","98"
598,"Poland","55-64","secondary ","Once a month","3","7","2","0"
599,"Finland","55-64","Secondary","Less than once a month","98","4","5","9"
600,"Poland","35-44","  ","Every day","3","5","3","10"
489,"Estonia","45-54","  ","Every day","6","10","10","10"
503,"Finland","65+","NA","Several times a week","9","10","7","1"
321,"Finland","25-34","Secondary","98","5","6","2","98"
516,"Finland","35-44","secondary ","Every day","2","","5","5"
146,"Poland","55-64","Secondary","Several times a month","0","98","6","8"
348,"Sweden","45-54","secondary ","Several times a week","8","99","5","4"
553,"Sweden","55-64","secondary ","Every day","4","10","3","10"
558,"Estonia","45-54","primary","Once a month","0","0","9","7"
